account_name,website_link,address,phone_number,extra_phone,email_address,social_media_links,description,validation_passed,Record Id
In Spring,https://www.enterprisesg.gov.sg/about-us/contact-us,"Link@Amk 3, Ang Mo Kio St. 62 #05-29",+65 6349 9100,Not found,admin@springunited.sg,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437474
Infantino Enterprise Pte Ltd,https://infantino.com.sg/pages/contact-us,6 Yishun Industrial Street 1 #02-16/17 Northview Bizhub,+65 6272 4628,Not found,enquiry@infantino.com.sg,https://www.facebook.com/Infantino.sg/,Not found,Forced CSV fallback,zcrm_3877682000000437475
Innoplus Alliance,https://sgpgrid.com/company-details/innoplus-alliance-pte-ltd,"6 Yishun Industrial Street 1, North View Bizhub",+65 6359 2864,Not found,info@foundit.sg,Not found,Not found,CSV fallback,zcrm_3877682000000437478
Interpark International,https://www.globalinterpark.com/,"8 Burn Road , Trivex #13-05",Not found,Not found,help.global@nol-universe.com,https://www.instagram.com/interparkglobal/,No information is available for this page. · Learn why,Forced CSV fallback,zcrm_3877682000000437479
Invitro,https://www.invitrou.com/contact-us/,nan,96456856,+65 68966758,Support@invitrou.com,"https://www.facebook.com/InVitroSingapore/, https://www.facebook.com/InVitroSingapore/mentions/","Botanicaire™ is a leading-edge air filter and purifier that integrates Mother Nature's intrinsic power, advanced technology for your homes, offices and living ...",CSV fallback,zcrm_3877682000000437480
ISE International,https://www.isecompany.com/contact,41 Tuas Ave,+65 65151608,+65 65151607,sales.singapore@isecompany.com,Not found,Business Enquiry. Need more information? We are here to assist. Get in Touch. Career Opportunities. Join our growing family.,Similarity 0.88,zcrm_3877682000000437481
iSwitch,https://www.switch.sg/pages/contact-us,nan,+65 62354306,Not found,eric.tan@iswitche.com,Not found,"Get up-to-date information about your Apple products. Easily check availability, compatibility, and repair instructions, with support from our expert team.",Forced CSV fallback,zcrm_3877682000000437482
Iuiga Technologies,https://iuiga.com/pages/contact-us?srsltid=AfmBOoq_9pAu-K6ZMnswUZWAQz0c9K-i5DrqB7_7zMOUfa-_SwS3F3OE,"3 Ubi Ave 3, #04-01 Crocodile House",Not found,+65 31386857,support@iuiga.com,"https://sg.linkedin.com/company/iuiga-singapore, https://www.facebook.com/iuiga/",IUIGA. 30021 likes · 178 talking about this · 23 were here. What you own is part of your self-expression. Choose high quality essentials that inspire...,Forced CSV fallback,zcrm_3877682000000437483
J.Direct,https://www.jdirect.com.sg/contact-us.html,13-74 WCEGA Tower Singapore 658065 Cust,+65 6562 5728,Not found,CustomerService@JDirect.com.sg,"https://sg.linkedin.com/in/alex-luk-624a3513, https://sg.linkedin.com/company/j.direct-pte-ltd",Not found,Postal match,zcrm_3877682000000437485
Jacq,https://www.companies.sg/business/201620371E/JACQ-PTE-LTD-,269 QUEEN STREET,Not found,Not found,Not found,"https://sg.linkedin.com/in/andiloo, https://www.instagram.com/explore/locations/472586019787913/blk-269-queen-street-singapore-180269/",Missing: Jacq #02-231,Revalidated,zcrm_3877682000000437486
J'Aime Belle Femme,https://www.sgpbusiness.com/company/Jaime-Ballet-Academy-Pte-Ltd,Blk 114 Punggol Walk #09-30,83389834,Not found,Not found,"https://www.facebook.com/bellefemmesg/, https://www.facebook.com/bellefemme.tlb/, https://www.instagram.com/bellefemmesg/?hl=en",Not found,CSV fallback,zcrm_3877682000000437487
Jarrons & Co. Pte Ltd,https://jarrons.com.sg/pages/contact-us?srsltid=AfmBOorQPrBsYnigconwqYoXp3UaMEzkC6RLsYJ6OugeAbxxF1V8wvJN,"158 Kallang Way, #05-08 Performance Building",8182 6240,Not found,customer_service@jarrons.com.sg,https://www.facebook.com/JarronsnCo/,Not found,Forced CSV fallback,zcrm_3877682000000437488
Jars Of Fluff,https://www.sgpbusiness.com/company/Jars-Of-Fluff,Blk 518 Pasir Ris St 52 #05-45,+65 9660 3541,Not found,Enquiry@fluffbakery.sg,"https://www.instagram.com/reel/CsYDs9Pvjo1/, https://www.facebook.com/fluffbakerysg/, https://www.instagram.com/fluffbakery/channel/",Fluff Bakery's new flagship store along North Bridge Road opened November 2021 and we've all been in love with what it has to offer.,Forced CSV fallback,zcrm_3877682000000437489
JCS Biotech Pte Ltd,https://www.jcsgroup.com/biotech,2 Woodlands Sector 1 #01-07 Woodlands Spectrum 1,6602 9483,Not found,sales@biocair.com.sg,https://sg.linkedin.com/company/jcs-biotech,Nur Barina Bani. Sales Coordinator at JCS Biotech. See all employees. Similar pages. Ordering Pte Ltd. IT Services and IT Consulting · SH ROAD NETWORK PTE LTD.,CSV fallback,zcrm_3877682000000437490
Jcs-Echigo,https://www.jcs-echigo.com.sg/contacts/,3 Woodlands Sector 1,+65 6368 4198,Not found,sales@jcs-echigo.com.sg,Not found,Not found,CSV fallback,zcrm_3877682000000437491
Jean Yip Salon Pte Ltd,https://jeanyipgroup.com/message/,"50 Kaki Bukit Place, #07-01 Jean Yip Building",+65 67649612,Not found,marketing@jeanyipgroup.com,Not found,"Hair Spa · City Square, J4-15/16/17 |. 016 7333907 · Paradigm Mall, Level 2F-73A |. 018 9833908.",Forced CSV fallback,zcrm_3877682000000437492
Jestac,https://www.jestac.com/contact/,2 Kim Chuan Drive #02-06 Csi Distribution Centre,6288 8290,Not found,sales@jestac.com.sg,"https://www.instagram.com/jestacsg/?hl=en, https://www.facebook.com/jestac/",Not found,Forced CSV fallback,zcrm_3877682000000437493
Jia Le Tcm Wellness Pte Ltd,https://joyretcmedispa.com/clinics/,283 Bishan street,6564573766,Not found,Not found,https://m.facebook.com/joyresg/photos/updated-joyre-tcmedi-spa-15-outlet-locations-and-phone-numbers-visit-any-of-our-/2281610252096223/,Missing: Jia Le Pte Ltd #01-175,Revalidated,zcrm_3877682000000437494
Jitta Trading Pte Ltd,https://jitta.sg/pages/contact,"126 Joo Seng Road, #05-07 Gold Pine Industrial Building",+65 62803309,Not found,info@jittatrading.com.sg,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437495
Jo Lauren,https://www.jolauren.com/,11 Holland Drive #22-12,+65 8962 4042,Not found,contact@jolauren.com,https://www.instagram.com/jolaurenorganics/,The best natural treatment for baby eczema and rashes is our bestselling Miracle Balm. Follow me through as I show you how long the recovery takes.,Forced CSV fallback,zcrm_3877682000000437497
Job Hive,https://recordowl.com/company/job-hive-private-limited,16 PURVIS STREET,+65 6493 2651,Not found,Not found,Not found,"Company information ; Registered name. JOB HIVE RECRUITMENT PTE. LTD. ; Unique Entity Number (UEN). 202005722Z ; Registration date. Feb 19, 2020 ; Legal entity type.",Similarity 1.00,zcrm_3877682000000437498
Jump Eat Cry,https://www.jumpeatcry.com/pages/retail-locations?srsltid=AfmBOorb4AuZPeScLMx9ip1mj0bU60e-Um0EgGboSkxzDxEEn7s3MOeg,194 Pandan Loop Pantech Business Hub,Not found,Not found,askus@jumpeatcry.com,"https://www.instagram.com/p/Bv8RkkdhNEe/, https://www.facebook.com/Jumpeatcry/, https://www.facebook.com/Jumpeatcry/photos/a.1442753202625833/2527918840775925/, https://www.instagram.com/jumpeatcry/",Jump Eat Cry. 57340 likes · 10 talking about this. Journey into motherhood in style with Jump Eat Cry maternity & nursing wear.,CSV fallback,zcrm_3877682000000437499
Jus Infants @ Macpherson,https://jusinfantsplay.com/,"47, Kallang Pudding Road",+65 8686 7770,Not found,Not found,"https://m.facebook.com/jusinfantsplayhouse/photos/jus-infants-macpherson-is-now-officially-open-for-registrationswe-understand-tha/158143504866384/, https://www.instagram.com/jusinfantsplayhouse/?hl=en","Welcome to Jus Infants PlayHouse, a nurturing space designed for your precious ones aged 2 to 24 months. Our Eduplay program transcends ordinary playgroups, ...",Similarity 0.85,zcrm_3877682000000437500
Just SG,https://www.justship.sg/contact-us,"8 On Claymore, Claymore Hill",+65 6779 7137,Not found,hello@justship.sg,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437501
Just 3C,https://www.cdc.com.sg/contact-us/,35 Jalan Pemimpin #03-03A,+65 9184 8888,Not found,Not found,https://www.facebook.com/groups/singaporefreetravelplansticketstips/posts/1064796025663685/,Not found,Forced CSV fallback,zcrm_3877682000000437502
Kangen Lightning Team,https://enagic.com.sg/contact-us/,C/O 57 Pasir Ris Terrace,+65 9822 9321,Not found,Not found,"https://www.facebook.com/official.enagicsingapore/posts/company-contact-info/752835811896635/, https://www.facebook.com/official.enagicsingapore/",This Sub-class includes the combined production of crops and animals without a specialised production of crops or animals.,Forced CSV fallback,zcrm_3877682000000437503
Karcher,https://www.kaercher.com/sg/services/support/contact-us.html,Not found,+65 9246 2860,Not found,sales-sg@karcher.com,Not found,Not found,Unknown,zcrm_3877682000000437504
Karlatech,https://pumpanickel.com/pages/about-us?srsltid=AfmBOooVJhl88pKrARjZQLskGVCo_DnfGxqXPGIp9HU3xp1J0mZyzAwO,183 Jalan Pelikat #01-41 The Promenade @ Pelikat,+65 9815 1606,+65 67024879,karla@karlatech.com,https://www.facebook.com/KarLaTechSG/,Not found,CSV fallback,zcrm_3877682000000437505
Kasili Distribution & Supply,https://www.sgpbusiness.com/company/Kasili-Distribution-Supply,924 HOUGANG AVENUE,+65 6861 0632,Not found,Not found,Not found,Unique Entity Number: 200514039R ; Current Entity Name: KASI INSURINDO PTE. LTD. ; Registration Date: 2005-10-08 ; Company Status: Live Company ...,Similarity 0.71,zcrm_3877682000000437506
Kayden Holdings,https://kydongrp.com/connect-with-us/,90 Dawson Road #34-12,+65 66815691,Not found,Not found,https://sg.linkedin.com/company/kydongroup,"We're excited to explore how we can work together to transform the landscape of workplace job readiness, learning and performance. SEND US A MESSAGE. First Name",CSV fallback,zcrm_3877682000000437507
Kemona,https://www.sgpbusiness.com/company/Kemona-Pte-Ltd,12 ALJUNIED ROAD,Not found,Not found,info@teloscube.com,Not found,This Journal is published by the Registry of Trade Marks pursuant to rule 86A of the Trade Marks. Rules. Request for past issues of the journal published more ...,Revalidated,zcrm_3877682000000437508
Kids Haven,https://kidshaven.sg/pages/contact-us?srsltid=AfmBOop-HxzgM0_9KWnijGaD3x2YPg6OtGMIUx79TKO3XaTyYrNORJ5a,70 Lim Ah Woo Road #05-08,8820 8604,Not found,enquiries@kidshaven.sg,"https://www.facebook.com/KidsHavenChildrenFurniture/, https://www.instagram.com/kidshaven_sg/?hl=en, https://sg.linkedin.com/company/kids-haven-children-furniture",Not found,CSV fallback,zcrm_3877682000000437509
Kidsfullstop,https://www.science.edu.sg/contact-us,Blk 349 Hougang Avenue 7 #06-613 Singapore 530349,64250251,Not found,kidsfullstopcom@gmail.com,"https://m.facebook.com/kidsfullstop/about/, https://www.instagram.com/kidsstopsg/?hl=en, https://www.facebook.com/kidsfullstop/, https://sg.linkedin.com/in/yvonne-khoo-2768b3164",Experience ; Logistics Executive. Halcyon Agri Corporation Limited. Sep 2014 ; Independent Business Owner. Kidsfullstop Pte Ltd. Jun 2012 ; Logistics Executive.,CSV fallback,zcrm_3877682000000437510
Kidz Paradize,https://opengovsg.com/corporate/53328980K,480 Pasir Ris Drive,Not found,Not found,Not found,https://www.facebook.com/kidzparadize/posts/kidz-paradize-has-agents-all-over-singapore-selling-kidz-paradize-ha4-and-doodle/2458262347598956/,Not found,Revalidated,zcrm_3877682000000437511
Kim Thai Trading,https://www.dnb.com/business-directory/company-profiles.kim_thai_trading_pte_ltd.0d6349e41a6db58fe0431d0429abf819.html,356 ALEXANDRA ROAD,+65 8962 4042,Not found,Not found,Not found,Results-oriented accounting and finance professional with a degree in Accounting and Finance and a track record spanning since 2015.,Similarity 0.71,zcrm_3877682000000437513
Kimberly Clark,https://www.kcprofessional.com/en-sg/contact-us,"83 Clemenceau Avenue, #14-05 Ue Square",+65 6327 3856,Not found,singapore.consumer.marketing@kcc.com,https://sg.linkedin.com/company/kimberly-clark,Not found,Forced CSV fallback,zcrm_3877682000000437514
Kinder Dreams,https://www.kinderdreams.com.sg/pages/find-us?srsltid=AfmBOoqLjCEfmbhv0DjugMhGCnBSuOyNnlER6GieApj1PuY8Fd5jrq18,"37 Kallang Pudding Road, #05-08 Tong Lee Building, Block B",+65 9101 3349,Not found,enquiry@kinder-dreams.net,"https://www.instagram.com/kinderdreamssg/?hl=en, https://www.facebook.com/kinderdreamssg/",Maternity Lifestyle & Baby Essentials Making Parenthood Easier Everyday | Worldwide Delivery Explore & Shop Now! linktr.ee/kinderdreams.,Forced CSV fallback,zcrm_3877682000000437515
Kinsen Equipment Trading,https://www.keepital.com/company/sg/kinsen-equipment-trading-pte-ltd,206 Tagore Lane,+65 65534600,+65 64565859,Not found,https://www.facebook.com/KinsenEquipment/,Not found,Revalidated,zcrm_3877682000000437516
Kobayashi Pharmaceutical,https://kobayashi.com.sg/contact_us/,"2 Alexandra Road, #04-01D Delta House",+65 6270 8239,Not found,info-sg@kobayashi.com,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437517
La Belle Collection Pte Ltd,https://labelle-sg.com/contact/,"1091, LOWER DELTA ROAD",+65 6271 6189,Not found,ENQUIRY@LABELLE-SG.COM,https://www.facebook.com/p/La-Belle-Collection-61552408287613/,Not found,Similarity 0.82,zcrm_3877682000000437518
Laiticiousmom,https://mommoremilk.com/apps/store-locator?srsltid=AfmBOorerkYNrxEczyC30eVqo7awLBvbMjqTvvxPlsUK9owrInHmr6Dl,334A Yishun Street 31 #04-95,6581524236,Not found,laiticiousmom@gmail.com,"https://m.facebook.com/laiticiousmom/mentions/, https://www.instagram.com/p/BVXcwocABrG/, https://www.facebook.com/laiticiousmom/",You are so special for being a mom. Happy Mothers Day Love!❤ From Nini Laiticiousmom · No photo description available.,CSV fallback,zcrm_3877682000000437520
Lavender Life (YL Essential Oils),https://www.youngliving.com/en_SG/company/contactus?srsltid=AfmBOorVCQKRQTiCs_fN-Bli6baQasz8BPAOC6ZKdozOPTiBBZ8adfse,nan,+65 6911 0211,Not found,Not found,"https://www.instagram.com/younglivingsg/, https://m.facebook.com/youngliving.sg/?locale2=en_GB, https://www.facebook.com/youngliving.sg/posts/attention-aries-we-have-selected-these-essential-oils-that-are-fit-to-complement/605342234973984/",Use Lavender Essential Oil to enhance your fiery nature and help you strive towards doing your best. Use Release Essential Oil to attain a ...,Forced CSV fallback,zcrm_3877682000000437521
Legacy FA,https://www.legacyfa-asia.com/about-us/welcome-to-legacy-fa,"1 Kay Siang Road, #01-02",+65 66227801,Not found,CS@LegacyFA-Asia.com,https://www.facebook.com/LegacyFA.Asia/,Not found,Forced CSV fallback,zcrm_3877682000000437523
Legate Enterprise Pte Ltd,https://legate.com.sg/contact-us/,"1 Tampines North Drive 1 #08-32, #09-32 T-Space@Tampines",+65 6242 1911,-68461857,sales@legate.com.sg,https://www.facebook.com/LegateSingapore/,Not found,Forced CSV fallback,zcrm_3877682000000437524
Leting Trading,https://recordowl.com/company/leting-trading-pte-ltd,2 Soon Wing Road #06-11,+65 9782 0823,Not found,sales@snitrading.com.sg,Not found,Not found,CSV fallback,zcrm_3877682000000437526
Life Architech Pte. Ltd.,https://www.keepital.com/company/sg/life-architech-pte-ltd/contacts,71 Bukit Batok Cresent #05-13,+65 96365061,Not found,contact@haoyikang.com.sg,https://www.linkedin.com/company/life-architech-pte-ltd,"These terms and conditions outline the rules and regulations for the use of Life Architech Pte. Ltd.'s Website, located at www.haoyikang.sg.",Forced CSV fallback,zcrm_3877682000000437527
Lil Milk Monsters,https://www.lilmilkmonsters.com/,475B Upper Serangoon Crescent #16-525,+65 90489727,Not found,lilmilkmonsters@gmail.com,"https://www.instagram.com/lil_milk_monsters/?hl=en, https://www.facebook.com/lilmilkmonsters/","Company information ; Registered name. LIL' MILK MONSTERS PTE. LTD. ; Unique Entity Number (UEN). 201838182R ; Registration date. Nov 09, 2018 ; Legal entity type.",CSV fallback,zcrm_3877682000000437529
Lincoln Group Holding,https://lincoln-group.com/our-locations-2/,Oxley Bizhub 67 Ubi Road 1 #10-03,9693 2378,Not found,info@lincolngroup.sg,Not found,"Lincoln is a firm of specialists with proven expertise in finding and recruiting managers, experts, leaders and talented professionals.",Forced CSV fallback,zcrm_3877682000000437530
Little Bearnie,https://www.littlebearnie.com/pages/contact-us?srsltid=AfmBOoqrYN_ay5rler48re2xsZIW8Vl3sV1_cc_8YYjHBqYEl7BDUQtG,808 French Road #07-163 Kitchener Complex,8728 8788,Not found,contactus@littlebearnie.com,"https://www.facebook.com/littlebearnie/, https://sg.linkedin.com/in/valencia-chen-35a27184, https://www.instagram.com/littlebearnie/",Not found,Forced CSV fallback,zcrm_3877682000000437531
Little Big Boss,https://www.sgpbusiness.com/company/Little-Big-Boss-LLP,15 YISHUN INDUSTRIAL STREET,Not found,Not found,Not found,"https://www.facebook.com/littlebigbosssingapore/, https://www.instagram.com/littlebigbosssingapore/?hl=en",Missing: 15 Yishun #03-25,Revalidated,zcrm_3877682000000437532
Little Bunny Closet,https://www.houseoflittlebunny.sg/?srsltid=AfmBOooomLDdGdm_3TzrtQWquQPQ1vtJieyAtPlN62f5-oS7qbrnZ7JW,213A Compassvale Lane,Not found,Not found,Not found,Not found,Not found,Revalidated,zcrm_3877682000000437533
Little Me,https://www.littleme.com/?srsltid=AfmBOorWsZanqpVDoFrctELDzaufcbFQAMn0PLFvSUbWiG-N_S2yXI3M,"709 Yishun Ring Road, #10-86,",62767868,Not found,sales@tfitrading.com,https://www.facebook.com/biglittleme.sg/,"For questions about orders, please be sure to include your order number. Customer service is available Monday-Friday, 9AM - 5PM ET.",CSV fallback,zcrm_3877682000000437534
Little Secrets,https://www.thesecretlittleagency.com/,Blk 545 Hougang Ave #01-1243,97995946,Not found,ask.ourlittlesecret@yahoo.com,"https://www.facebook.com/ourlittlesecrets.sg/, https://m.facebook.com/ourlittlesecrets.sg/mentions/, https://sg.linkedin.com/company/the-secret-little-agency, https://www.instagram.com/ourlittlesecret.sg/?hl=en",Not about us.No work here.What news? THIS IS NOT THE WEBSITE OF THE SECRET LITTLE AGENCY. Overheard at the office. “I have stats for everything.”.,CSV fallback,zcrm_3877682000000437535
Little Splashes Swim School Pte. Ltd.,https://www.littlesplashes.com.sg/contact-us/,22 Lor Pisang Batu,+65 6636 0016,Not found,info@littlesplashes.com.sg,https://www.facebook.com/LittleSplashesSG/,Not found,Forced CSV fallback,zcrm_3877682000000437536
Little Tot's Kingdom,https://recordowl.com/company/little-tot-s-kingdom,298B COMPASSVALE STREET,+65 65183189,Not found,Enquiry@totskingdom.com.sg,"https://www.facebook.com/TotsKingdom/, https://www.instagram.com/mylittlekingdom.mlk/",Not found,Similarity 0.84,zcrm_3877682000000437537
Lluie,https://www.ntu.edu.sg/soh/about-us/linguistics-and-multilingual-studies/faculty-members,Unit 2/58 Glenfern Road Ferntree Gully Australia 3156,+65-9090 8288,Not found,dennis.tayzm@ntu.edu.sg,Not found,"Lluie designs and creates high quality pieces to encourage exploration, imagination and creative play amongst little ones. Discover beautiful and uniquely ...",Forced CSV fallback,zcrm_3877682000000437538
Lol Co Ltd,https://www.lolcorporate.com/,"338 Bakdal-Ro, Manan-Gu, Anyang-Si, Gyeonggi-Do Republic Of Korea 14014",+65 8214 5913,Not found,hi@loc.com.sg,"https://sg.linkedin.com/company/lolcorporate, https://sg.linkedin.com/company/lol-empire-pte-ltd","LOL Corporate is a digital venture of the Bluebox Group. Our parent company Bluebox, is a well established and reputed multi-disciplinary professional services ...",CSV fallback,zcrm_3877682000000437539
Lollababy Pte Ltd,https://lollababy.com.sg/contact/?srsltid=AfmBOooCDLtRUYNXTy7uU5VkRGBmFfQ4wOulx7rZgwQON-yt9JDYyOui,1003 Toa Payoh Indust,+65 6592 8485,Not found,contact@lollababy.com.sg,"https://www.instagram.com/lollababysg/, https://m.facebook.com/lollababysingapore/about/?locale=en_GB",Not found,Similarity 0.71,zcrm_3877682000000437540
London Weight Mangament,https://londonweight.com.sg/locations/,2 Jurong East St 21 #05-01,6238 1234,Not found,Not found,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437541
Lovely World Marketing,https://www.wmg-group.com/contactUs/,"22A, Halaman Bukit Gambier 1, Sunwau Bukit Gabmier, Gelugor, Penang 11700 Malaysia",+65 6744 9888,Not found,business@wmg-group.com,https://sg.linkedin.com/in/kimlovely,Not found,Forced CSV fallback,zcrm_3877682000000437542
Luxe Aire Wellness,https://www.sgpbusiness.com/company/Luxe-Aire-Wellness,455 Segar Road #07-107,+65 6304 3552,Not found,info.rhs@fareast.com,"https://www.facebook.com/airersg/posts/contact-us-to-find-out-moremultiple-home-appliances-in-one-httpswwwairersgcomlux/1049387697280857/, https://www.facebook.com/luxeairewellness/",Not found,CSV fallback,zcrm_3877682000000437543
M.B.D. Marketing,https://www.mbdmktg.com/contact-us.html,20 Sin Ming Lane #05-57 Midview City,+65 6391 5915,Not found,info@mbdmktg.com.sg,"https://www.facebook.com/mbdmktg/, https://www.instagram.com/mbdmktg/?hl=en",Not found,Forced CSV fallback,zcrm_3877682000000437544
Ma Kuang Group,https://makuang.com.sg/en/about-us/contact-us/,"No. 1 Gateway Drive, Westgate Tower #10-11/12",+65 6884 4772,+65 68831511,enquiry@makuang.com.sg,https://www.facebook.com/MaKuangTCM/,Not found,Forced CSV fallback,zcrm_3877682000000437545
Mace Corporation,https://www.macegroup.com/locations/asia-pacific/singapore/,"9171 W Flamingo Rd, Las Vegas, Nv 89147 U.S.A",Not found,Not found,Not found,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437546
Madison Renesmee,https://www.sgpbusiness.com/company/Madison-Renesmee-Singapore-Pte-Ltd,101 Hougang Ave 1 #02-1169,+65 6721 7128,Not found,Not found,https://www.instagram.com/madison.renesmee/,Not found,Forced CSV fallback,zcrm_3877682000000437547
Magic Forest,https://recordowl.com/company/magicforest-com-sg-pte-ltd,37 JASMINE ROAD,Not found,Not found,Not found,https://www.instagram.com/magicforestsg/,The places featured in this travel guide are marked with these icons to indicate the nearest prayer space for your convenience. Indicates the nearest mosque.,Revalidated,zcrm_3877682000000437548
Malleus Group,https://www.sgpbusiness.com/company/Malleus-Ai-Pte-Ltd,405C Fernvale Lane #09-103,+65 6555 3528,"+65 61000610, +65-65553028",hello@bellus.com.sg,Not found,Not found,CSV fallback,zcrm_3877682000000437549
Mama Lait,https://recordowl.com/company/mama-lait,116 CHANGI ROAD,+65 6744 9935,Not found,ask@mamalait.co,"https://www.instagram.com/reel/C2WE9HOBcx4/, https://www.instagram.com/mamalait/, https://www.facebook.com/mamalaitsg/, https://m.facebook.com/mamalaitsg/photos/for-more-enquiries-on-our-products-and-service-do-drop-us-an-email-at-askmamalai/2120924174719094/","Every product, every idea behind Mama Lait is inspired by real experiences, with the hope of making motherhood just a little bit easier for others. We started ...",Similarity 0.81,zcrm_3877682000000437550
Mama Warehouse,https://www.sgpbusiness.com/company/Mama-Warehouse,81 MERGUI ROAD,Not found,Not found,Not found,https://www.facebook.com/mama.warehouse,Missing: 81 Mergui #06-01,Revalidated,zcrm_3877682000000437551
Mamami,https://www.mamami4u.com/?srsltid=AfmBOoqi9SWNLdfNyCx84JFdwrnU2WJlU8iShUUIGzk4YDZhtkUFMJz6,72 Eunos Avenue 7 #06-09B,9662 8919,Not found,Not found,https://www.instagram.com/mamamideal/,Not found,CSV fallback,zcrm_3877682000000437552
Mami and Papi,https://www.keepital.com/company/sg/mami-and-papi-pte-ltd/contacts,"96, Koon Seng Road",Not found,Not found,Not found,Not found,Check out what local food we are having today~. Mami is out for a Saturday dinner with friends while Papi is sick at home~ . SummerBrown and ...,Revalidated,zcrm_3877682000000437553
Manner of Living Company,https://molco.com.sg/pages/terms-of-service,28 Pioneer Crescent #02-13 West Park Bizcentral,6594341391,Not found,hello@molco.com.sg,"https://www.instagram.com/p/ChBrUS9u3hw/?hl=en, https://www.facebook.com/molcosg/, https://www.instagram.com/molcosg/?hl=en",Deck out your little one's haven with up to 60% off on the enchanting Yamatoya baby furniture and snuggly BabyBeannie bedding products!,Forced CSV fallback,zcrm_3877682000000437554
Marian's Lactation Pte Ltd,https://www.marianslactationboost.com/,183 Jalan Pelikat #01-114,9889 3982,Not found,marianslactationboost@gmail.com,"https://www.instagram.com/marianslactationboost/?hl=en, https://www.instagram.com/marianslactationboost/reels/?hl=en",Not found,Forced CSV fallback,zcrm_3877682000000437556
Mark Motor Engineering,https://www.tgssol.com/contact-us.html,1093 Lower Delta Road,+65 6270 5208,"+65-63374331, +65-65380400, +65-63370821",zhilongcepl@gmail.com,Not found,Missing: Motor Engineering #05-06,Revalidated,zcrm_3877682000000437557
Maternal Diva Inc Pte Ltd,https://recordowl.com/company/maternal-diva-inc-pte-ltd,821B Upper East Coast Road,6844 7905,Not found,customerservice@anneematthew.com,https://sg.linkedin.com/in/annie-neo-585a8165,UEN 201012931N; Company Name MATERNAL DIVA INC PTE. LTD. · Date Incorporation 17 June 2010 (Thursday) 15 years ago; Operating Status Live Company.,Similarity 0.98,zcrm_3877682000000437558
Maxwell Distribution Pte Ltd,https://recordowl.com/company/maxwell-distribution-pte-ltd,nan,+65 6354 4055,Not found,Not found,Not found,Corporate Profile of MAXWELL DISTRIBUTION PTE LTD · UEN 199300760M; Company Name MAXWELL DISTRIBUTION PTE LTD · Date Incorporation 11 February ...,Forced CSV fallback,zcrm_3877682000000437559
MC2,https://mc2.com.sg/contact-us/,33 Ubi Avenue 3 #01-28,+65 6634 7333,Not found,info@mc2.com.sg,"https://www.facebook.com/mc2singapore/, https://www.instagram.com/official.mc2/?hl=en",Not found,Forced CSV fallback,zcrm_3877682000000437560
Md Collections,https://sg.ltddir.com/companies/md-collections/,213 JURONG EAST STREET,6213 0806,Not found,HSA_PD_Enquiry@hsa.gov.sg,Not found,Not found,Similarity 0.79,zcrm_3877682000000437562
Merrybubs,https://www.companies.sg/business/53328345X/MERRYBUBS,62B STRATHMORE AVENUE,Not found,Not found,orders@agapebabies.com,"https://ms-my.facebook.com/merrybubs/photos/763344154016632/, https://www.instagram.com/p/BXePpSsDC0Q/, https://www.instagram.com/p/BUx9FNADnNY/, https://www.facebook.com/merrybubs/","Merrybubs. 1765 likes. Exclusive distributor for Foldaway Bumper Mats, playmats, bean bags and more! No. 1 selling Bumper Ma.",Similarity 0.78,zcrm_3877682000000437563
Mgroup,https://opengovsg.com/corporate?street=NEW+UPPER+CHANGI+ROAD,59 NEW UPPER CHANGI ROAD,Not found,Not found,Not found,Not found,Missing: Mgroup #01-1252,Revalidated,zcrm_3877682000000437564
Milk & Honey Baby Asia,https://www.sgpbusiness.com/company/Milk-And-Honey-Singapore-Pte-Ltd,3 Upper Aljunied Link #01-04,-66929615,Not found,info@milkandhoneybabies.com,Not found,"The registered street name and Postal Code is CHOA CHU KANG CRESCENT, 680681. The current entity status is Struck Off. UEN: 201921731Z.",Forced CSV fallback,zcrm_3877682000000437565
Milking Cow SG,https://www.milkingcowsg.com/,"183 Jalan Pelikat, The promenade @ pelikat, B1, 120,",+65 91421511,+65 96454333,Not found,"https://m.facebook.com/milkingcowsg/mentions/, https://www.instagram.com/milkingcowsg/?hl=en, https://www.facebook.com/milkingcowsg/",Milking Cow Sg. 2275 likes. Milking Cow is a lactation company which aims to help more mummies to increase their supply and prod.,Forced CSV fallback,zcrm_3877682000000437566
Ming Long,https://recordowl.com/company/ming-long-singapore-pte-ltd,10 Ubi Crescent #03-64 Ubi Techpark Lobby D,+65 8962 4042,Not found,Not found,https://sg.linkedin.com/in/ming-long-l-b2ab658b,"I am a project management professional from the Engineering and IT sectors, helping companies to manage projects, systemize process and conceive program ...",CSV fallback,zcrm_3877682000000437567
Minilogy,https://dearbaby.com.sg/pages/contact-us,51 Bukit Batok Cresent #07-13 Unity Centre,6425 0685,Not found,contactus@dearbaby.com.sg,Not found,Not found,Forced CSV fallback,zcrm_3877682000000437568
